cell_type,count,median,mean
Myoepithelial,33592,0.0,0.0
T_cell,33013,28.55390422141482,34.62942989459794
B_cell,7793,28.759670812158614,35.10986504002092
Endothelial,24265,30.68031954093624,41.78858013934666
Myeloid,9306,33.60591205244573,41.21058053702995
Unresolved,3333,43.16626965372858,49.86679917606984
Fibroblast,133590,43.673395820687716,51.1348922939919
Tumor_epithelial,316693,52.71226947147041,59.06559828935056
