,B_cell,Endothelial,Fibroblast,Myeloid,Myoepithelial,T_cell,Tumor_epithelial,Unresolved
B_cell,298.9884401503616,62.21585478597459,19.842321718298702,88.10482235127236,-5.017633329553446,290.88323298461086,-302.03011835450667,8.081322586337727
Endothelial,65.2211662852549,303.3391918370329,120.83259182146918,47.52729745363162,68.1453374298931,114.00561048236708,-380.86819124836455,-8.088467233121808
Fibroblast,29.658480838572096,131.56260040916993,490.9255437180097,91.60242690254913,-116.42955023412813,73.72100819854316,-533.9423314907391,-21.015674971621532
Myeloid,91.11166337281762,48.051077257784634,90.25876557774605,119.63009641427398,-0.48240519973462875,197.9468939989603,-275.55809928360407,7.178320170478599
Myoepithelial,-8.952125611478523,67.60524634008065,-148.53987233233786,-4.552163826286732,693.8823579911707,-20.609119529432228,-301.0370668235805,-4.025172976909723
T_cell,281.3733323024217,103.90567113579839,63.72268178569363,195.48391533432604,-18.036634874597727,623.0568819930877,-572.9998725652355,7.559929730043494
Tumor_epithelial,-253.8692830542553,-339.2272756692903,-599.0181161286096,-198.49649801389197,-233.36047764222218,-499.28954064720733,949.4662046839102,18.827166743707842
Unresolved,9.295994382056476,-10.735886439298051,-35.20006899772444,6.249397047045835,-2.8121874533070517,8.478495754921195,24.12066658651772,19.30700894276695
