gene,mean_log1p,variance,morans_i
CA12,1.0601599035816667,3.8412745877421477,0.3999615427181819
XBP1,1.6763147796218834,5.781632677510031,0.38653768124887533
RAB11FIP1,1.4989675107030371,5.238616525419437,0.3850929565804957
TSPAN13,0.8013389337837423,2.9164909126783134,0.35126524108455487
SLC9A3R1,0.9050717247762138,3.1662015243773016,0.3120660373681697
ANKRD30A,0.4286173351545978,1.568529141289598,0.29133001817369397
CCND1,0.7227567359736912,2.583223382129492,0.272619495924128
HSPB1,0.988985246827275,3.453801749515705,0.25227640857785527
SERPINA3,0.4736273771338173,1.7696372548152108,0.2515935380162097
DDR1,0.5007253671370563,1.7547031194438354,0.2472436964399555
GATA3,0.6166682459685642,2.1762456419676948,0.24699026026975146
PDZK1,0.41090231040606723,1.5107484785557725,0.2297157999644883
HSPB8,0.5847811358419523,2.1089980966615887,0.21602209983273687
WWP1,0.6323530414475038,2.2516189803421973,0.21384649507298506
ESR1,0.49757421907745214,1.7707091280711382,0.20945599080386845
MLPH,0.384797298141991,1.3528977470035186,0.19415403273440052
TIMP3,1.3002729897942376,4.717896150655661,0.18940933672862584
IL6ST,1.1481155221388972,3.887015672419688,0.18119825424551297
FOXA1,0.4242473143408308,1.5045034208935892,0.18098155211593003
THSD4,0.43131184809526685,1.5293185614497162,0.1804215339629062
H3F3B,1.8582410440833161,5.5177537332323805,0.17224453584934382
PLXNB1,0.45333938320350636,1.5971932664753845,0.17023963000420353
GREB1,0.4173530938312108,1.509591789848069,0.16760353600683423
YWHAZ,1.207232640602755,4.06984161185186,0.15701237119711162
IRS1,0.37815224489387506,1.3563130411101083,0.15629244693102856
MX1,0.6108739825923157,2.3381740382215987,0.15406794918227257
CTTN,0.5228637704863889,1.8503389844946851,0.15307521240107236
IL7R,0.6904667070224252,3.2575264933983568,0.14898414661186482
PDCD4,0.7440583965043106,2.676097251855961,0.14826351457480627
WNT9A,0.35337038255244063,1.3599006003895375,0.14393846046167177
SEPTIN9,1.0413871626188838,3.532137943306295,0.14185477039787045
ARF1,0.8050887367407482,2.8105234461417794,0.14184105062094832
CBX3,0.7325104247352034,2.5696948211301747,0.14133399281792808
MAPKAPK2,0.7825834080058638,2.807243552668093,0.13954556528815767
BCL2,0.48282830110960023,1.7255206590712193,0.13779798442219532
F11R,0.5062958837610588,1.790325144195064,0.13625402160938535
RNF187,0.521814018427881,1.8685277818980832,0.13611369231306308
P4HB,0.6453053353168707,2.2736219196764047,0.13284186319055166
LAPTM4B,0.39652435043764434,1.4263021553068769,0.1269372701018965
RAC1,1.1884090199868365,3.908172955306834,0.12383357858479956
NORAD,0.7655468628368166,2.6858107395952486,0.1232210935023801
NOTCH2NLA,1.1376693761082335,3.8952091671640634,0.12197001422199817
TUBB,0.9138901043534425,3.211619095287963,0.1193225413382887
PABPC1L,0.5116434206670335,1.8257613322867148,0.11476655171623117
SLC2A4RG,0.39425136195735866,1.4249829832948415,0.1113571744633188
FLNB,0.4077822294324937,1.4502464295108757,0.11082112292655835
DCN,0.43964747997885095,2.0515448460634826,0.11078295213495448
PVT1,0.53566592257139,1.9506092103248458,0.10970955754835741
CCL2,0.5750860030236948,2.622850345014852,0.1074543008952861
CCT3,0.6441698425895834,2.3000127714172556,0.10664771849513355
RARA,0.5464051063412342,1.972278723591589,0.10244879704385328
HIPK2,0.45057599495691414,1.664237147861162,0.10085363414039125
BIRC3,0.6347908158767633,2.8860495749568527,0.09539409518062132
SOD1,0.5679775805260681,2.0647957794521417,0.09447678793357908
PARK7,0.538118952363965,1.9688631984218945,0.09405336144582817
NME1,0.3932457626105272,1.4435008043604616,0.09346193733862426
CTNND1,0.4356534163590052,1.556484320705506,0.09215182979407659
EEF1G,3.0820393090355584,6.652007225099297,0.09133834545692716
TRAC,0.4600416211952838,2.2223798085161377,0.09102767467517814
CLTC,0.6062882044179266,2.1905507300223728,0.08944350411680436
NAMPT,1.1688470102664184,4.5675929867632465,0.08868807018115037
CXCR4,0.5200636998178996,2.4228914882588164,0.08841862538825387
BECN1,0.4126534118463956,1.5124115961469329,0.08745052673548653
POSTN,0.4362362657970494,2.1252902330020005,0.08731470977362654
THBS1,0.903943560601964,3.357109837552912,0.08704564197041578
TRBC1,0.444862376261016,2.1649168330032507,0.08684997485652243
ADAR,0.5553434085441779,2.02106238639584,0.08664971154418452
UBAP2L,0.4078059636302562,1.4975800462174127,0.08571376683801948
CD52,0.5666118369255576,2.598766859878435,0.0851871745469612
HSF1,0.4330280801952233,1.5651358216643054,0.08348455895134439
SOX2-OT,1.385644818187534,4.626147144682403,0.0820024030454214
PSMD3,0.3765408289312626,1.3721656631858925,0.08035123469126927
SKP1,0.4767688091747111,1.7516889349118672,0.07905756486378578
