,B_cell,Basal_tumor,Cycling,Dendritic,Endothelial,Fibroblast,Luminal_tumor,Macrophage,Myeloid,Myoepithelial,Myofibroblast,NK_cell,Pericyte,Plasma_cell,T_cell,Unresolved
B_cell,92.0443578833941,-4.66596401356231,-34.281253893229135,-0.4990725274893293,-11.99694192889105,-15.246001966289969,-67.61317485680112,-3.0032991703756786,-3.792005581490116,-27.615272761326956,-23.981354813661504,6.269533691743445,-13.716414399869207,2.8376653207389664,84.02896536734849,-26.850024513315194
Basal_tumor,-3.596310137394026,3.1819886682442053,-1.6487962262683407,0.4186417644869302,2.2057393626418644,7.601739788420764,2.043875374788789,-1.8081471245176084,-2.510438359480797,11.44313299271222,-3.777574770518798,-0.8456571731037158,1.6851236230436952,-5.00698511034807,-13.828446342625371,4.638367910053014
Cycling,-31.80709716308328,-1.4477171648346279,53.51774947566834,-10.200388831279424,-7.819547119423095,-44.89024143842699,112.27696450598164,-17.705929303860305,-19.93274976595926,2.578725400693839,-13.693655034722854,-5.3399787342944105,1.906432339901498,1.8685181347502664,-67.81103890923364,14.397167616597907
Dendritic,2.0549394809109254,-0.6152644221081589,-9.408933599537969,7.194887532000583,2.877077214136523,1.8871152311657617,-24.126062815065605,6.546833442498685,14.06652000350911,-7.381461951523021,2.91158067694162,2.067985531125863,0.1194399375275373,0.13693651385112326,10.349435358609975,-3.874638766994921
Endothelial,-8.317812949148914,2.392642489817911,-6.564083767490728,1.5996379857092367,19.320185944980178,7.388207972935513,-17.396079956805444,0.25167761330363986,3.4119864265809503,13.100687921501942,5.716297487879028,-4.157424179883129,13.821477153517604,0.21717882271464176,-13.178431378599043,-0.13669095347161025
Fibroblast,-10.320596548685188,9.703112727740569,-37.89929066391757,3.9214565893527626,10.623876363286284,93.22888454168609,-63.73805813839931,5.389630263763028,-5.03039230200428,6.209804468902187,8.542340028601725,-5.687667862699207,8.779510623336844,-2.907897597414264,-35.784747850303184,-10.01522109852319
Luminal_tumor,-66.23821686969839,0.031416161574222126,112.31924169566723,-24.77414871502737,-16.66048889183503,-58.13778126330387,183.80735156823832,-32.579277055241185,-44.93719403296678,17.999744025603842,-23.812390841870542,-9.448156467400072,-4.047894335500366,-1.7572506038120215,-131.28174568146926,21.654011322214384
Macrophage,-0.9571245462891921,-2.4233862392746546,-15.119757669797055,5.000029170911637,-0.4910022988998717,3.618909008947651,-34.52578927727051,26.677747328000628,31.31847158597472,-13.226241616019319,12.829330132445161,2.6466221304838395,-1.730329554893557,7.982275021087789,13.999837796254209,-22.904770996949328
Myeloid,-2.1471280572296685,-1.904032430809211,-18.33395189375349,13.5511817067535,3.728599546306638,-9.474225774803234,-45.99133311233321,32.82492730966906,31.27482670381746,-13.63172123409101,16.810411739159424,2.9848156037613607,-2.708096119876115,4.1103862658193915,31.595967964160838,-24.96023873713844
Myoepithelial,-22.28889949890782,9.832244331167532,3.707003368572401,-8.663818957237776,11.615755118815809,-0.28576714249393326,19.32988973862607,-16.204917617509935,-14.418605534822113,99.21163961129075,-10.545799219449922,-3.980439198678566,6.933474253862585,-11.75428790411573,-40.11298284592289,-5.037121999466476
Myofibroblast,-21.577665785503232,-2.687869957200807,-11.215080424102837,3.6348196121478957,5.917912963514819,7.148915450531854,-20.919394677479293,17.997528102586504,20.1237801132476,-9.979825589726167,58.478801880641946,-1.8629031209997509,0.958650213747788,10.448602251784317,1.3327815867703738,-28.561753826934783
NK_cell,7.843936582424503,-1.4316392994053597,-5.320790140706527,2.8830575421799347,-1.9315439380976538,-6.981812965313155,-9.583341625976413,2.187402100908067,3.5165975773757623,-4.937522546605081,-4.114678899352507,1.7549043649656426,-1.0722116048311383,1.4725269099378036,30.40094516703988,-5.959660604793919
Pericyte,-10.061268419685465,2.291223774400502,1.718045006943049,-0.041162889022701495,14.547137541281156,7.408205037883753,-0.8956313580949289,-1.0888370126458047,-1.7328846429128233,7.97334598939203,-1.2962617867685096,-1.0948461670476988,11.370256729521904,1.8593497811255995,-20.906233580106232,3.466799279410307
Plasma_cell,3.77526601537753,-4.612816474851985,2.5127449238163817,-0.6669410100706443,-0.5193674151464049,-4.862845339003481,-2.908155942540655,8.9283350251198,3.3763224059488386,-11.17638218025355,10.891785368263779,1.0394616047869387,0.9253799220654279,10.116039282870126,4.257746011026001,-10.449360554808871
T_cell,75.87721817542044,-15.06999460580768,-68.5914569838708,5.05385932187477,-16.45927846336029,-44.6141900824893,-127.24828950098812,13.126812976754866,26.92128045770247,-40.20386709116143,-5.23926488164113,21.4340114473067,-23.356300296416073,2.9409405921703153,186.52230114352795,-70.22231080430983
Unresolved,-17.430851727170463,3.1444779205693916,17.560324527111614,-5.526487492081578,1.2307396276480758,-17.270389045939524,24.12232340577994,-16.666461238801116,-20.546062308835683,-2.3123560680345423,-24.97678003039403,-3.9161516698643046,1.9534387100690176,-7.365824342550077,-58.4157019752513,60.98809897499657
